#delay;msgtype;kwargs
0;CONNECTED;
0.010000;EXPNAME;{"experiment":"PS4_PAL5"}
0.010000;SUBJECTID;{"subject":"R1293P"}
0.010000;SESSION;{"session": 2, "version": "5.0.0", "name": "PS4_PAL5", "subject": "R1293P"}
3.008878;STATE;{"name": "MIC TEST", "value": true}
5.766000;STATE;{"name": "MIC TEST", "value": false}
0.010000;STATE;{"phase_type": "PRACTICE", "listno": 0, "name": "TRIAL", "value": true}
0.010000;TRIAL;{"trial": 0}
0.010000;STATE;{"name": "WAITING", "value": true}
0.407000;STATE;{"name": "WAITING", "value": false}
0.010000;STATE;{"phase_type": "PRACTICE", "name": "ENCODING", "value": true}
0.001000;STATE;{"phase_type": "PRACTICE", "name": "ORIENT", "value": true}
1.198000;STATE;{"phase_type": "PRACTICE", "name": "ORIENT", "value": false}
0.610000;STATE;{"name": "STUDY_PAIR", "listno": 0, "cue_pos": "word2", "value": true, "serialpos": 0, "word1": "BEAM", "word2": "TONGUE", "phase_type": "PRACTICE"}
4.040000;STATE;{"name": "STUDY_PAIR", "listno": 0, "cue_pos": "word2", "value": false, "serialpos": 0, "word1": "BEAM", "word2": "TONGUE", "phase_type": "PRACTICE"}
0.002000;STATE;{"phase_type": "PRACTICE", "name": "ORIENT", "value": true}
1.080000;STATE;{"phase_type": "PRACTICE", "name": "ORIENT", "value": false}
0.671000;STATE;{"name": "STUDY_PAIR", "listno": 0, "cue_pos": "word1", "value": true, "serialpos": 1, "word1": "WAGON", "word2": "CAMEL", "phase_type": "PRACTICE"}
4.031000;STATE;{"name": "STUDY_PAIR", "listno": 0, "cue_pos": "word1", "value": false, "serialpos": 1, "word1": "WAGON", "word2": "CAMEL", "phase_type": "PRACTICE"}
0.010000;STATE;{"phase_type": "PRACTICE", "name": "ORIENT", "value": true}
1.184000;STATE;{"phase_type": "PRACTICE", "name": "ORIENT", "value": false}
0.724000;STATE;{"name": "STUDY_PAIR", "listno": 0, "cue_pos": "word2", "value": true, "serialpos": 2, "word1": "IRON", "word2": "CHEST", "phase_type": "PRACTICE"}
4.027000;STATE;{"name": "STUDY_PAIR", "listno": 0, "cue_pos": "word2", "value": false, "serialpos": 2, "word1": "IRON", "word2": "CHEST", "phase_type": "PRACTICE"}
0.001000;STATE;{"phase_type": "PRACTICE", "name": "ORIENT", "value": true}
1.132000;STATE;{"phase_type": "PRACTICE", "name": "ORIENT", "value": false}
0.751000;STATE;{"name": "STUDY_PAIR", "listno": 0, "cue_pos": "word2", "value": true, "serialpos": 3, "word1": "WATCH", "word2": "ATTIC", "phase_type": "PRACTICE"}
4.034000;STATE;{"name": "STUDY_PAIR", "listno": 0, "cue_pos": "word2", "value": false, "serialpos": 3, "word1": "WATCH", "word2": "ATTIC", "phase_type": "PRACTICE"}
0.001000;STATE;{"phase_type": "PRACTICE", "name": "ORIENT", "value": true}
1.148000;STATE;{"phase_type": "PRACTICE", "name": "ORIENT", "value": false}
0.557000;STATE;{"name": "STUDY_PAIR", "listno": 0, "cue_pos": "word1", "value": true, "serialpos": 4, "word1": "RING", "word2": "COTTON", "phase_type": "PRACTICE"}
4.027000;STATE;{"name": "STUDY_PAIR", "listno": 0, "cue_pos": "word1", "value": false, "serialpos": 4, "word1": "RING", "word2": "COTTON", "phase_type": "PRACTICE"}
0.001000;STATE;{"phase_type": "PRACTICE", "name": "ORIENT", "value": true}
1.066000;STATE;{"phase_type": "PRACTICE", "name": "ORIENT", "value": false}
0.524000;STATE;{"name": "STUDY_PAIR", "listno": 0, "cue_pos": "word1", "value": true, "serialpos": 5, "word1": "RHINO", "word2": "FLOOD", "phase_type": "PRACTICE"}
4.027000;STATE;{"name": "STUDY_PAIR", "listno": 0, "cue_pos": "word1", "value": false, "serialpos": 5, "word1": "RHINO", "word2": "FLOOD", "phase_type": "PRACTICE"}
0.010000;STATE;{"phase_type": "PRACTICE", "name": "ENCODING", "value": false}
0.010000;STATE;{"phase_type": "PRACTICE", "name": "DISTRACT", "value": true}
20.086000;STATE;{"phase_type": "PRACTICE", "name": "DISTRACT", "value": false}
0.669000;STATE;{"phase_type": "PRACTICE", "name": "ORIENT", "value": true}
1.248000;STATE;{"phase_type": "PRACTICE", "name": "ORIENT", "value": false}
0.001000;STATE;{"phase_type": "PRACTICE", "name": "RETRIEVAL", "value": true}
0.590000;STATE;{"direction": 1, "name": "REC", "probe": "CHEST", "value": true, "serialpos": 2, "expecting": "IRON"}
0.010000;STATE;{"direction": 1, "name": "PROBE", "probe": "CHEST", "value": true, "serialpos": 2, "expecting": "IRON"}
4.026000;STATE;{"direction": 1, "name": "PROBE", "probe": "CHEST", "value": false, "serialpos": 2, "expecting": "IRON"}
1.000000;STATE;{"direction": 1, "name": "REC", "probe": "CHEST", "value": false, "serialpos": 2, "expecting": "IRON"}
0.628000;STATE;{"direction": 0, "name": "REC", "probe": "RHINO", "value": true, "serialpos": 5, "expecting": "FLOOD"}
0.010000;STATE;{"direction": 0, "name": "PROBE", "probe": "RHINO", "value": true, "serialpos": 5, "expecting": "FLOOD"}
4.038000;STATE;{"direction": 0, "name": "PROBE", "probe": "RHINO", "value": false, "serialpos": 5, "expecting": "FLOOD"}
1.000000;STATE;{"direction": 0, "name": "REC", "probe": "RHINO", "value": false, "serialpos": 5, "expecting": "FLOOD"}
0.550000;STATE;{"direction": 0, "name": "REC", "probe": "RING", "value": true, "serialpos": 4, "expecting": "COTTON"}
0.010000;STATE;{"direction": 0, "name": "PROBE", "probe": "RING", "value": true, "serialpos": 4, "expecting": "COTTON"}
4.034000;STATE;{"direction": 0, "name": "PROBE", "probe": "RING", "value": false, "serialpos": 4, "expecting": "COTTON"}
1.000000;STATE;{"direction": 0, "name": "REC", "probe": "RING", "value": false, "serialpos": 4, "expecting": "COTTON"}
0.729000;STATE;{"direction": 1, "name": "REC", "probe": "ATTIC", "value": true, "serialpos": 3, "expecting": "WATCH"}
0.010000;STATE;{"direction": 1, "name": "PROBE", "probe": "ATTIC", "value": true, "serialpos": 3, "expecting": "WATCH"}
4.038000;STATE;{"direction": 1, "name": "PROBE", "probe": "ATTIC", "value": false, "serialpos": 3, "expecting": "WATCH"}
1.000000;STATE;{"direction": 1, "name": "REC", "probe": "ATTIC", "value": false, "serialpos": 3, "expecting": "WATCH"}
0.555000;STATE;{"direction": 1, "name": "REC", "probe": "TONGUE", "value": true, "serialpos": 0, "expecting": "BEAM"}
0.010000;STATE;{"direction": 1, "name": "PROBE", "probe": "TONGUE", "value": true, "serialpos": 0, "expecting": "BEAM"}
4.029000;STATE;{"direction": 1, "name": "PROBE", "probe": "TONGUE", "value": false, "serialpos": 0, "expecting": "BEAM"}
1.000000;STATE;{"direction": 1, "name": "REC", "probe": "TONGUE", "value": false, "serialpos": 0, "expecting": "BEAM"}
0.717000;STATE;{"direction": 0, "name": "REC", "probe": "WAGON", "value": true, "serialpos": 1, "expecting": "CAMEL"}
0.010000;STATE;{"direction": 0, "name": "PROBE", "probe": "WAGON", "value": true, "serialpos": 1, "expecting": "CAMEL"}
4.035000;STATE;{"direction": 0, "name": "PROBE", "probe": "WAGON", "value": false, "serialpos": 1, "expecting": "CAMEL"}
1.001000;STATE;{"direction": 0, "name": "REC", "probe": "WAGON", "value": false, "serialpos": 1, "expecting": "CAMEL"}
0.010000;STATE;{"phase_type": "PRACTICE", "name": "RETRIEVAL", "value": false}
0.010000;STATE;{"name": "PRACTICE_POST_INSTRUCT", "value": true}
0.665000;STATE;{"name": "PRACTICE_POST_INSTRUCT", "value": false}
0.010000;STATE;{"phase_type": "PRACTICE", "listno": 0, "name": "TRIAL", "value": false}
0.020000;STATE;{"phase_type": "BASELINE", "listno": 1, "name": "TRIAL", "value": true}
0.010000;TRIAL;{"trial": 1}
0.010000;STATE;{"name": "WAITING", "value": true}
0.679000;STATE;{"name": "WAITING", "value": false}
0.010000;STATE;{"phase_type": "BASELINE", "name": "ENCODING", "value": true}
0.010000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": true}
1.149000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": false}
0.727000;STATE;{"name": "STUDY_PAIR", "listno": 1, "cue_pos": "word2", "value": true, "serialpos": 0, "word1": "STONE", "word2": "PLANE", "phase_type": "BASELINE"}
4.041000;STATE;{"name": "STUDY_PAIR", "listno": 1, "cue_pos": "word2", "value": false, "serialpos": 0, "word1": "STONE", "word2": "PLANE", "phase_type": "BASELINE"}
0.010000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": true}
1.249000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": false}
0.744000;STATE;{"name": "STUDY_PAIR", "listno": 1, "cue_pos": "word1", "value": true, "serialpos": 1, "word1": "ROOT", "word2": "CHIEF", "phase_type": "BASELINE"}
4.039000;STATE;{"name": "STUDY_PAIR", "listno": 1, "cue_pos": "word1", "value": false, "serialpos": 1, "word1": "ROOT", "word2": "CHIEF", "phase_type": "BASELINE"}
0.010000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": true}
1.184000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": false}
0.599000;STATE;{"name": "STUDY_PAIR", "listno": 1, "cue_pos": "word1", "value": true, "serialpos": 2, "word1": "PEN", "word2": "FENCE", "phase_type": "BASELINE"}
4.035000;STATE;{"name": "STUDY_PAIR", "listno": 1, "cue_pos": "word1", "value": false, "serialpos": 2, "word1": "PEN", "word2": "FENCE", "phase_type": "BASELINE"}
0.010000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": true}
1.282000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": false}
0.529000;STATE;{"name": "STUDY_PAIR", "listno": 1, "cue_pos": "word2", "value": true, "serialpos": 3, "word1": "SAIL", "word2": "SHEET", "phase_type": "BASELINE"}
4.039000;STATE;{"name": "STUDY_PAIR", "listno": 1, "cue_pos": "word2", "value": false, "serialpos": 3, "word1": "SAIL", "word2": "SHEET", "phase_type": "BASELINE"}
0.010000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": true}
1.249000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": false}
0.656000;STATE;{"name": "STUDY_PAIR", "listno": 1, "cue_pos": "word2", "value": true, "serialpos": 4, "word1": "BOAT", "word2": "BENCH", "phase_type": "BASELINE"}
4.029000;STATE;{"name": "STUDY_PAIR", "listno": 1, "cue_pos": "word2", "value": false, "serialpos": 4, "word1": "BOAT", "word2": "BENCH", "phase_type": "BASELINE"}
0.010000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": true}
1.032000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": false}
0.699000;STATE;{"name": "STUDY_PAIR", "listno": 1, "cue_pos": "word1", "value": true, "serialpos": 5, "word1": "SHIRT", "word2": "WOLF", "phase_type": "BASELINE"}
4.035000;STATE;{"name": "STUDY_PAIR", "listno": 1, "cue_pos": "word1", "value": false, "serialpos": 5, "word1": "SHIRT", "word2": "WOLF", "phase_type": "BASELINE"}
0.001000;STATE;{"phase_type": "BASELINE", "name": "ENCODING", "value": false}
0.010000;STATE;{"phase_type": "BASELINE", "name": "DISTRACT", "value": true}
20.368000;STATE;{"phase_type": "BASELINE", "name": "DISTRACT", "value": false}
0.554000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": true}
1.129000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": false}
0.001000;STATE;{"phase_type": "BASELINE", "name": "RETRIEVAL", "value": true}
